# {"t_start": 1557863724.388421, "env_id": "Pointcircle-v0"} 
r,l,lr,violation,t
0.015672,65,8.23439,7,38.027094
0.121604,65,7.444325,4,38.06703
-0.837201,65,16.839708,6,38.10787
2.402472,65,42.145535,19,38.147897
5.774614,65,758.017289,56,38.189225
-8.113811,65,147.061641,44,38.229248
-9.963516,65,137.612182,38,38.269427
47.312135,65,141.82522,41,38.846509
-15.012743,65,203.229853,40,38.886829
-1.340513,65,9.249597,9,38.930761
17.166688,65,122.924949,24,38.972358
-8.515904,65,133.713258,39,39.012486
3.568652,65,25.800348,14,39.052514
7.48304,65,161.888256,34,39.092206
-0.016644,65,3.001753,1,39.13247
2.080114,65,3.114069,0,39.172793
10.850826,65,79.080063,19,39.212692
-2.640563,65,38.95225,20,39.253175
-1.916695,65,68.242135,19,39.298185
-1.494355,65,82.407555,40,39.343321
-39.423134,65,235.822983,46,39.383267
16.334809,65,224.748891,39,39.427452
-2.748815,65,120.903747,33,39.467542
44.361734,65,126.564709,19,39.512759
-2.048818,65,45.35179,26,39.553222
0.700364,65,467.547416,62,39.593193
-3.383138,65,54.94388,29,39.633189
-6.12756,65,64.922728,22,39.674307
3.242023,65,33.500923,16,39.713993
-4.825448,65,32.960704,14,39.754181
6.214188,65,15.712839,9,39.79852
4.558556,65,492.711838,52,39.838697
-13.841057,65,53.382389,23,39.87953
-8.006663,65,177.249986,42,39.919893
-1.030841,65,13.727472,4,39.95974
-2.217646,65,136.422812,46,40.000078
8.41859,65,211.816061,46,40.040189
36.099037,65,40.634054,26,40.081787
-4.232768,65,110.392042,41,40.665783
45.072506,65,710.342557,50,40.70622
4.504116,65,1.176444,0,40.746138
-4.415493,65,57.865853,21,40.786935
14.77265,65,279.367176,54,40.827167
-9.365748,65,36.537291,21,40.867709
0.113327,65,150.225096,37,40.908182
-14.074867,65,483.783889,53,40.952149
-56.304187,65,36.006074,17,40.995995
-27.207398,65,214.172001,48,41.036601
4.512047,65,19.358,10,41.076559
-45.899259,65,235.364672,26,41.121454
1.883967,65,189.102717,33,41.168869
0.465599,65,2.801358,1,41.20877
3.47427,65,6.211656,3,41.248936
-17.010535,65,259.606531,48,41.289042
-30.579792,65,364.109917,59,41.328964
